V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,consent,Instructions,E2_SH_FLAT_FORW,E2_SH_FLAT_BACK,E2_TH_FLAT_FORW,E2_TH_FLAT_BACK,E2_SH_PUSH_FORW,E2_SH_PUSH_BACK,E2_TH_PUSH_FORW,E2_TWO_PUSH_BACK,VideoCompletion,VideoNTimes,VideoIssues,OpenEnded,GestureNotice,MathQuestion,TransitionPerson,Likeability,Approachability,Warm,Friendly,TransitionAQ,AQ1_face,AQ2_face,age,gender,handedness,language,ThankYou,DO-BR-FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
ResponseID,ResponseSet,Name,ExternalDataReference,EmailAddress,IPAddress,Status,StartDate,EndDate,Finished,CONSENT   This study investigates language and perception. You will be asked to look at a picture...,"INSTRUCTIONS   On the next screen, you will see a video of a person. Please make sure that your a...",Response:,Response:,Response:,Response:,Response:,Response:,Response:,Response:,Were you able to view the video completely?,"If you were able to view the video, how many times did you view it?",Were there any video or audio issues that you were aware of?,"Any observations, thoughts, ideas you want to share with us about the person you just saw or the...",Did you notice the person's gestures?,What is 9 + 4?,The next four questions are about the person in the video:,The person in the video is likeable.  ,The person in the video is approachable.,The person in the video is warm.,The person in the video is friendly.,The next two questions are about yourself:,I find it easy to work out what someone is thinking or feeling just by looking at their face.,I find it difficult to work out people’s intentions.,What is your age?,What is your gender?,Are you left or right-handed?,What is your native language / your native languages?   Your native language(s) is what you spoke...,You completed our survey! Please follow the link below to retrieve the access code for this HIT:...,Display Order: Block Randomizer FL_10,LocationLatitude,LocationLongitude,LocationAccuracy,
R_2P1jg7sZe9yTgTr,Default Response Set,Anonymous,,,104.4.112.163,0,2019-07-04 08:58:32,2019-07-04 09:00:53,1,1,1,,,,,,,Friday,,Yes,3,No issues,It was a little hard to understand what he was saying.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,strongly agree,slightly agree,32,female,left-handed,English,1,E2_TH_PUSH_FORW,33.913497924805,-84.685897827148,-1,
R_3fZ5P1JQig5OGek,Default Response Set,Anonymous,,,50.239.137.82,0,2019-07-04 08:54:34,2019-07-04 09:01:31,1,1,1,,,,,4 days,,,,Yes,4,No,Nothing,Probably yes,13,1,slightly disagree,slightly agree,strongly agree,slightly agree,1,slightly disagree,slightly agree,35,male,right-handed,English,1,E2_SH_PUSH_FORW,36.402801513672,-97.862297058105,-1,
R_1jcB9HfERzNexYD,Default Response Set,Anonymous,,,75.183.185.234,0,2019-07-04 08:58:59,2019-07-04 09:02:01,1,1,1,,,,,,,Monday,,Yes,1,nothing that I noticed,The person spoke very fast; it was difficult to understand what was being said.,Probably yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,27,female,right-handed,English,1,E2_TH_PUSH_FORW,33.876800537109,-78.650802612305,-1,
R_3kdgmwLY7wSMRNv,Default Response Set,Anonymous,,,73.152.56.226,0,2019-07-04 09:00:30,2019-07-04 09:02:11,1,1,1,,,,,friday,,,,Yes,1,no,it was good,Definitely yes,13,1,slightly agree,slightly disagree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,32,male,right-handed,english,1,E2_SH_PUSH_FORW,37.514694213867,-77.503402709961,-1,
R_2uwAaKBNXjJafqd,Default Response Set,Anonymous,,,24.18.153.117,0,2019-07-04 09:02:23,2019-07-04 09:03:25,1,1,1,,,,,,,,Monday,Yes,2,no,no,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,28,male,right-handed,english,1,E2_TWO_PUSH_BACK,47.312103271484,-122.36610412598,-1,
R_3RrMqckLWeJEAAm,Default Response Set,Anonymous,,,174.216.18.69,0,2019-07-04 08:59:22,2019-07-04 09:04:18,1,1,1,Saturday,,,,,,,,Yes,1,No.,I didn't understand him totally.  I think he spoke of a meeting moving forward in two days.  That's how I answered the question.......,Definitely yes,13,1,slightly disagree,slightly agree,slightly disagree,slightly disagree,1,slightly agree,slightly disagree,64,female,right-handed,English,1,E2_SH_FLAT_FORW,47.717803955078,-122.29989624023,-1,
R_1NDh1oUGVUMzJYB,Default Response Set,Anonymous,,,98.2.212.40,0,2019-07-04 09:03:56,2019-07-04 09:05:42,1,1,1,,Saturday,,,,,,,Yes,Once,No,He had an accent,Definitely yes,13,1,slightly agree,strongly agree,strongly agree,strongly agree,1,slightly agree,slightly disagree,31,male,right-handed,English,1,E2_SH_FLAT_BACK,43.733993530273,-70.262496948242,-1,
R_rikn00JC17p2ZHz,Default Response Set,Anonymous,,,172.79.142.205,0,2019-07-04 09:05:43,2019-07-04 09:07:22,1,1,1,,,,,,,Friday,,Yes,4,No,,Definitely yes,13,1,strongly agree,strongly agree,strongly agree,strongly agree,1,strongly agree,strongly disagree,21,female,right-handed,english,1,E2_TH_PUSH_FORW,42.541397094727,-75.527397155762,-1,
R_AHvifLzsoO8altn,Default Response Set,Anonymous,,,162.199.121.24,0,2019-07-04 09:06:41,2019-07-04 09:09:46,1,1,1,,,Friday,,,,,,Yes,Twice, no,no,Definitely yes,13,1,strongly agree,strongly agree,slightly agree,strongly agree,1,slightly agree,slightly disagree,25,male,right-handed,English,1,E2_TH_FLAT_FORW,41.884704589844,-88.302803039551,-1,
R_3Q6uhQ6g0mW04Pn,Default Response Set,Anonymous,,,66.68.22.234,0,2019-07-04 09:11:05,2019-07-04 09:12:25,1,1,1,Monday,,,,,,,,Yes,1,no,,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,29,male,right-handed,English,1,E2_SH_FLAT_FORW,30.182601928711,-97.739402770996,-1,
R_3NJyOLSrCdIz2Nn,Default Response Set,Anonymous,,,75.109.38.48,0,2019-07-04 09:12:44,2019-07-04 09:14:52,1,1,1,,,,Monday,,,,,Yes,2,none,The hand gesture defined the day for me.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,1,slightly disagree,slightly agree,48,male,right-handed,English,1,E2_TH_FLAT_BACK,38.442901611328,-81.480400085449,-1,
R_2b1AxoL0Pq4WDol,Default Response Set,Anonymous,,,108.51.169.16,0,2019-07-04 09:12:47,2019-07-04 09:15:39,1,1,1,,,,,,,Friday,,Yes,5,No issues that I noticed,I had a lot of trouble with the man's accent. The gesturing helped though. I might have had more difficulty without it,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,28,male,right-handed,English,1,E2_TH_PUSH_FORW,39.00129699707,-76.888000488281,-1,
R_3Giy9O2VnLvD7le,Default Response Set,Anonymous,,,68.193.156.174,0,2019-07-04 09:15:29,2019-07-04 09:17:40,1,1,1,,,,,,friday,,,Yes,twice,no,NONE,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,39,male,right-handed,ENGLISH,1,E2_SH_PUSH_BACK,40.67529296875,-74.227500915527,-1,
R_3sct6ntjd4sR8Iv,Default Response Set,Anonymous,,,73.8.86.239,0,2019-07-04 09:12:35,2019-07-04 09:18:19,1,1,1,,Monday,,,,,,,Yes,1,no,,Probably yes,13,1,slightly agree,slightly agree,slightly agree,strongly agree,1,slightly agree,slightly agree,30,male,right-handed,English ,1,E2_SH_FLAT_BACK,41.970397949219,-87.703598022461,-1,
R_3Rgs9FOQkGD6syn,Default Response Set,Anonymous,,,174.26.203.131,0,2019-07-04 09:17:10,2019-07-04 09:19:24,1,1,1,,,,,Friday,,,,Yes,3,The picture took two plays to load.,He put his hand out.,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,26,female,right-handed,English,1,E2_SH_PUSH_FORW,33.007293701172,-111.93240356445,-1,
R_XU1qPXALAwZcPrr,Default Response Set,Anonymous,,,50.80.69.123,0,2019-07-04 09:15:55,2019-07-04 09:20:50,1,1,1,,,,,,,,friday,Yes,2,The audio was a little soft. I had to adjust my volume and view it again to actually understand him,The question was simple.  The person's gestures made no sense. ,Definitely yes,13,1,slightly disagree,slightly disagree,slightly disagree,slightly disagree,1,slightly disagree,slightly agree,37,male,right-handed,English,1,E2_TWO_PUSH_BACK,31.546401977539,-84.078300476074,-1,
R_86VVH6acOfohnLb,Default Response Set,Anonymous,,,216.110.214.42,0,2019-07-04 09:23:07,2019-07-04 09:24:30,1,1,1,,,Monday,,,,,,Yes,2,no,n/a,Definitely yes,13,1,slightly agree,slightly agree,slightly agree,slightly agree,1,slightly agree,slightly disagree,32,male,right-handed,English,1,E2_TH_FLAT_FORW,44.837707519531,-123.25120544434,-1,
